rep_id,year,quarter,total_deals,closed_won,total_revenue,avg_win_rate
EMP777,2024,Q2,22,8,15776.0,36.51
EMP777,2024,Q3,30,8,15056.0,27.73
EMP777,2024,Q4,33,7,14987.0,22.67
EMP777,2025,Q1,23,9,22050.0,41.49
EMP777,2025,Q2,26,8,19288.0,34.37
EMP777,2025,Q3,30,8,12544.0,28.49
EMP777,2025,Q4,38,8,14536.0,23.4
EMPxyz,2024,Q1,20,8,14240.0,40.74
EMPxyz,2024,Q2,23,8,15728.0,34.93
EMPxyz,2024,Q3,28,7,11774.0,27.11
EMPxyz,2024,Q4,35,9,19206.0,26.15
EMPxyz,2025,Q1,23,8,14752.0,37.21
EMPxyz,2025,Q2,26,9,19332.0,35.16
EMPxyz,2025,Q3,31,9,16803.0,29.79
EMPxyz,2025,Q4,35,8,18320.0,24.4
EMP9836,2024,Q1,19,7,10514.0,37.89
EMP9836,2024,Q2,24,7,13356.0,33.18
EMP9836,2024,Q3,29,8,15040.0,29.51
EMP9836,2024,Q4,32,7,11844.0,24.53
EMP9836,2025,Q1,19,7,11998.0,39.38
EMP9836,2025,Q2,26,9,19899.0,36.61
EMP9836,2025,Q3,28,7,15603.0,27.59
EMP9836,2025,Q4,33,9,15057.0,27.53
EMP882,2024,Q1,17,7,16009.0,42.33
EMP882,2024,Q2,28,10,22910.0,37.43
EMP882,2024,Q3,31,8,19056.0,27.34
EMP882,2024,Q4,37,10,15850.0,27.9
EMP882,2025,Q1,17,7,15260.0,42.8
EMP882,2025,Q2,27,9,15318.0,36.88
EMP882,2025,Q3,27,8,15096.0,30.59
EMP882,2025,Q4,33,8,15792.0,26.82
EMP467,2024,Q1,23,9,19305.0,39.83
EMP467,2024,Q2,28,10,24500.0,36.98
EMP467,2024,Q3,27,8,12632.0,29.65
EMP467,2024,Q4,37,8,17256.0,23.53
EMP467,2025,Q1,17,6,13374.0,40.41
EMP467,2025,Q2,22,7,15057.0,34.73
EMP467,2025,Q3,28,7,14623.0,28.27
EMP467,2025,Q4,34,8,17816.0,24.13
EMP5428,2024,Q1,21,8,15680.0,41.23
EMP5428,2024,Q2,26,8,16304.0,34.39
EMP5428,2024,Q3,27,8,18360.0,29.75
EMP5428,2024,Q4,34,9,17235.0,27.23
EMP5428,2025,Q1,19,7,11144.0,38.35
EMP5428,2025,Q2,27,8,16208.0,32.99
EMP5428,2025,Q3,33,9,15336.0,30.27
EMP5428,2025,Q4,33,8,14216.0,26.29
EMP256,2024,Q1,20,7,16079.0,39.83
EMP256,2024,Q2,27,9,22023.0,35.28
EMP256,2024,Q3,32,9,19413.0,30.66
EMP256,2024,Q4,37,9,20898.0,25.59
EMP256,2025,Q1,20,7,13258.0,39.71
EMP256,2025,Q2,28,10,15780.0,35.75
EMP256,2025,Q3,27,7,13034.0,28.73
EMP256,2025,Q4,33,7,15862.0,22.72
EMP8104,2024,Q1,17,7,11109.0,41.7
EMP8104,2024,Q2,25,8,18688.0,34.91
EMP8104,2024,Q3,28,9,20970.0,32.25
EMP8104,2024,Q4,36,9,18270.0,26.73
EMP8104,2025,Q1,22,9,17865.0,41.17
EMP8104,2025,Q2,26,8,16608.0,34.2
EMP8104,2025,Q3,32,8,13776.0,27.69
EMP8104,2025,Q4,36,9,21699.0,26.7
EMP8755,2024,Q1,19,7,16520.0,41.62
EMP8755,2024,Q2,28,9,21222.0,35.29
EMP8755,2024,Q3,28,8,12288.0,31.77
EMP8755,2024,Q4,35,9,18639.0,26.59
EMP8755,2025,Q1,19,7,14133.0,37.44
EMP8755,2025,Q2,22,8,19648.0,37.0
EMP8755,2025,Q3,29,9,15183.0,32.43
EMP8755,2025,Q4,37,8,18432.0,22.18
EMP8845,2024,Q1,22,8,17528.0,39.47
EMP8845,2024,Q2,25,9,22320.0,36.8
EMP8845,2024,Q3,29,8,17824.0,27.8
EMP8845,2024,Q4,34,8,14704.0,24.61
EMP8845,2025,Q1,17,6,12684.0,37.93
EMP8845,2025,Q2,28,10,21670.0,37.52
EMP8845,2025,Q3,28,7,17276.0,28.08
EMP8845,2025,Q4,32,8,14840.0,26.89
EMP6966,2024,Q1,19,8,13120.0,42.47
EMP6966,2024,Q2,22,7,17381.0,32.66
EMP6966,2024,Q3,33,9,22176.0,27.57
EMP6966,2024,Q4,32,8,19032.0,26.88
EMP6966,2025,Q1,21,8,18624.0,40.07
EMP6966,2025,Q2,28,9,22014.0,32.63
EMP6966,2025,Q3,28,8,14640.0,32.09
EMP6966,2025,Q4,34,8,14680.0,26.3
EMP8258,2024,Q1,20,8,13008.0,42.28
EMP8258,2024,Q2,26,9,21546.0,34.92
EMP8258,2024,Q3,32,9,15489.0,30.1
EMP8258,2024,Q4,38,8,12504.0,22.62
EMP8258,2025,Q1,18,6,13992.0,38.6
EMP8258,2025,Q2,24,9,17469.0,37.76
EMP8258,2025,Q3,27,8,17496.0,32.96
EMP8258,2025,Q4,35,9,17091.0,26.19
